INICIAL,,,,,,,
Modelo/Métrica,Accuracy,AUC,Recall,Prec.,F1,MCC,TT (Sec)
Extra Trees Classifier,0.6296,0.8198,0.6296,0.6369,0.6005,0.4210,0.0340
CatBoost Classifier,0.6287,0.8231,0.6287,0.6340,0.6053,0.4270,0.7090
Random Forest Classifier,0.6231,0.8142,0.6231,0.6264,0.5946,0.4112,0.0490
Light Gradient Boosting Machine,0.6212,0.8143,0.6212,0.6246,0.5971,0.4151,0.3360
Extreme Gradient Boosting,0.6186,0.8108,0.6186,0.6263,0.5970,0.4113,0.0520
Gradient Boosting Classifier,0.6071,0.0000,0.6071,0.5851,0.5598,0.3720,0.2770
K Neighbors Classifier,0.6052,0.7732,0.6052,0.6202,0.5868,0.3978,0.0130
Ridge Classifier,0.5977,0.0000,0.5977,0.4486,0.4836,0.3076,0.0060
Linear Discriminant Analysis,0.5965,0.0000,0.5965,0.4619,0.4876,0.3149,0.0050
Logistic Regression,0.5960,0.0000,0.5960,0.4663,0.4882,0.3104,0.0110
Naive Bayes,0.5836,0.7139,0.5836,0.5134,0.5013,0.3131,0.0060
Quadratic Discriminant Analysis,0.5833,0.0000,0.5833,0.5216,0.5138,0.3178,0.0060
Decision Tree Classifier,0.5557,0.6776,0.5557,0.5786,0.5502,0.3363,0.0080
Ada Boost Classifier,0.5524,0.0000,0.5524,0.5188,0.4996,0.2725,0.0270
Dummy Classifier,0.5100,0.5000,0.5100,0.2601,0.3445,0.0000,0.0060
SVM - Linear Kernel,0.4533,0.0000,0.4533,0.4294,0.4153,0.1510,0.0130
,,,,,,,
,,,,,,,
PIPELINE OPTIMIZADO,,,,,,,
Modelo/Métrica,Accuracy,AUC,Recall,Prec.,F1,MCC,TT (s)
CatBoost Classifier,0.8222,0.9634,0.8222,0.8442,0.8196,0.7431,4.3480
Extreme Gradient Boosting,0.8042,0.9573,0.8042,0.8249,0.7997,0.7143,0.3100
Quadratic Discriminant Analysis,0.8038,0.0000,0.8038,0.8297,0.7916,0.7119,0.0220
Light Gradient Boosting Machine,0.7963,0.9534,0.7963,0.8157,0.7905,0.7010,0.5480
Random Forest Classifier,0.7884,0.9498,0.7884,0.8104,0.7785,0.6872,0.2180
Extra Trees Classifier,0.7819,0.9513,0.7819,0.8046,0.7682,0.6766,0.0690
Gradient Boosting Classifier,0.7515,0.0000,0.7515,0.7750,0.7475,0.6365,5.1470
K Neighbors Classifier,0.7474,0.8970,0.7474,0.8015,0.7474,0.6525,0.1630
Logistic Regression,0.7428,0.0000,0.7428,0.7838,0.7439,0.6352,0.2210
SVM - Linear Kernel,0.7376,0.0000,0.7376,0.7709,0.7382,0.6206,0.0300
Linear Discriminant Analysis,0.7337,0.0000,0.7337,0.7754,0.7357,0.6236,0.0200
Ridge Classifier,0.7280,0.0000,0.7280,0.7623,0.7279,0.6096,0.0210
Decision Tree Classifier,0.6390,0.7486,0.6390,0.6769,0.6388,0.4765,0.0610
Naive Bayes,0.5922,0.7805,0.5922,0.6082,0.5672,0.3740,0.0200
Ada Boost Classifier,0.5862,0.0000,0.5862,0.6598,0.5973,0.4171,0.2400
Dummy Classifier,0.1338,0.5000,0.1338,0.0179,0.0316,0.0000,0.0240
,,,,,,,
,,,,,,,
PIPELINE OPTIMIZADO + CORRECCIÓN ETIQUETAS,,,,,,,
Model,Accuracy,AUC,Recall,Prec.,F1,MCC,TT (Sec)
CatBoost Classifier,0.8469,0.9704,0.8469,0.8617,0.8418,0.7768,4.3150
Light Gradient Boosting Machine,0.8400,0.9662,0.8400,0.8529,0.8332,0.7640,0.5430
Extreme Gradient Boosting,0.8364,0.9677,0.8364,0.8510,0.8301,0.7593,0.2660
Random Forest Classifier,0.8232,0.9650,0.8232,0.8401,0.8125,0.7387,0.2120
Extra Trees Classifier,0.8131,0.9649,0.8131,0.8285,0.7976,0.7229,0.0670
Quadratic Discriminant Analysis,0.8073,0.0000,0.8073,0.8383,0.7882,0.7162,0.0230
Gradient Boosting Classifier,0.8069,0.0000,0.8069,0.8254,0.8021,0.7175,4.9320
SVM - Linear Kernel,0.7910,0.0000,0.7910,0.8139,0.7872,0.6975,0.0320
Logistic Regression,0.7843,0.0000,0.7843,0.8123,0.7836,0.6893,0.0350
K Neighbors Classifier,0.7803,0.9078,0.7803,0.8261,0.7837,0.6923,0.0280
Ridge Classifier,0.7663,0.0000,0.7663,0.7960,0.7615,0.6640,0.0210
Linear Discriminant Analysis,0.7661,0.0000,0.7661,0.8051,0.7639,0.6685,0.0220
Decision Tree Classifier,0.6982,0.7869,0.6982,0.7249,0.6966,0.5592,0.0630
Naive Bayes,0.6618,0.8290,0.6618,0.6716,0.6463,0.4872,0.0200
Ada Boost Classifier,0.6524,0.0000,0.6524,0.7151,0.6635,0.5085,0.2300
Dummy Classifier,0.1207,0.5000,0.1207,0.0146,0.0260,0.0000,0.0240
